,Row,YEAR,MONTH,SEASON,LAKE,CRUISE_ID,VISIT_ID,STATION_ID,STN_DEPTH_M,LATITUDE,LONGITUDE,SAMPLING_DATE,TIME_ZONE,SAMPLE_DEPTH_M,DEPTH_CODE,MEDIUM,SAMPLE_TYPE,QC_TYPE,SAMPLE_ID,Particulate Organic Carbon (mg/L),Extracted Chlorophyll a (µg/L),CTD Specific Conductivity (µS/cm),Total Nitrogen (mg/L),Nitrate + Nitrite (mg N/L),CTD Dissolved Oxygen (mg/L),Total Phosphorus (µg P/L),Secchi Depth (m),Total Suspended Solids (mg/L),CTD Temperature (°C),Turbidity (NTU)
10,11.0,2010.0,April    ,Spring,Erie,ER1011,E061M10,ER61,8.9,41.946767,-83.04561700000001,2010-04-07 14:18:00,EDT,7.0,Bottom Minus,surface water,Individual,routine field sample,10GC17S11,,,247.9,,0.903,,10.1485,,,8.6,9.8
11,12.0,2010.0,April    ,Spring,Erie,ER1011,E060M10,ER60,8.3,41.89175,-83.19488299999999,2010-04-07 15:35:00,EDT,2.0,Surface,surface water,Individual,routine field sample,10GC17S21,,,234.1,,0.39899999999999997,,7.043,,,8.8,2.0
12,13.0,2010.0,April    ,Spring,Erie,ER1011,E060M10,ER60,8.3,41.89175,-83.19488299999999,2010-04-07 15:35:00,EDT,4.1,Middle Depth,surface water,Individual,routine field sample,10GC17S23,,,232.7,,0.401,,6.949,,,8.7,1.81
13,14.0,2010.0,April    ,Spring,Erie,ER1011,E060M10,ER60,8.3,41.89175,-83.19488299999999,2010-04-07 15:35:00,EDT,6.3,Bottom Minus,surface water,Individual,routine field sample,10GC17S31,,,232.8,,0.402,,7.1579999999999995,,,8.6,1.67
14,15.0,2010.0,April    ,Spring,Erie,ER1011,E059M10,ER59,8.0,41.72735,-83.150533,2010-04-07 17:11:00,EDT,2.0,Surface,surface water,Individual,routine field sample,10GC17S41,,,246.2,,0.633,,9.8725,,,7.8,4.23
15,16.0,2010.0,April    ,Spring,Erie,ER1011,E059M10,ER59,8.0,41.72735,-83.150533,2010-04-07 17:11:00,EDT,4.0,Middle Depth,surface water,Individual,routine field sample,10GC17S43,,,245.5,,0.631,,9.0105,,,7.7,4.19
16,17.0,2010.0,April    ,Spring,Erie,ER1011,E059M10,ER59,8.0,41.72735,-83.150533,2010-04-07 17:11:00,EDT,7.5,Bottom Minus,surface water,Individual,routine field sample,10GC17S51,,,245.5,,0.63,,8.602,,,7.7,4.48
17,18.0,2010.0,April    ,Spring,Erie,ER1011,E058M10,ER58,9.5,41.683917,-82.9349,2010-04-07 18:11:00,EDT,1.8,Surface,surface water,Individual,routine field sample,10GC17S61,,,268.4,,0.682,11.42,12.5375,,,8.2,7.52
18,19.0,2010.0,April    ,Spring,Erie,ER1011,E058M10,ER58,9.5,41.683917,-82.9349,2010-04-07 18:11:00,EDT,4.6,Middle Depth,surface water,Individual,routine field sample,10GC17S63,,,270.4,,0.6970000000000001,,11.719000000000001,,,8.0,7.79
19,20.0,2010.0,April    ,Spring,Erie,ER1011,E058M10,ER58,9.5,41.683917,-82.9349,2010-04-07 18:11:00,EDT,8.7,Bottom Minus,surface water,Individual,routine field sample,10GC17S71,,,269.7,,0.693,,12.257,,,8.0,7.49
20,21.0,2010.0,April    ,Spring,Erie,ER1011,E091M10,ER91M,10.2,41.83835,-82.904333,2010-04-07 20:59:00,EDT,2.0,Surface,surface water,Individual,routine field sample,10GC17S81,,,245.2,,0.47100000000000003,,9.774999999999999,,,7.1,5.62
21,22.0,2010.0,April    ,Spring,Erie,ER1011,E091M10,ER91M,10.2,41.83835,-82.904333,2010-04-07 20:59:00,EDT,4.9,Five Meter,surface water,Individual,routine field sample,10GC17S82,,,246.5,,0.47700000000000004,,9.8255,,,7.1,5.65
22,23.0,2010.0,April    ,Spring,Erie,ER1011,E091M10,ER91M,10.2,41.83835,-82.904333,2010-04-07 20:59:00,EDT,9.2,Bottom Minus,surface water,Individual,routine field sample,10GC17S91,,,246.8,,0.47700000000000004,,9.2485,,,7.0,5.95
23,24.0,2010.0,April    ,Spring,Erie,ER1011,E042M10,ER42,22.5,41.965,-82.041783,2010-04-08 03:12:00,EDT,11.1,Middle Depth,surface water,Individual QC,lab duplicate,10GC18C63,,,,,0.23,,9.913,,,4.0,
24,25.0,2010.0,April    ,Spring,Erie,ER1011,E092M10,ER92,11.0,41.949483,-82.68835,2010-04-07 23:36:00,EDT,10.2,Bottom Minus,surface water,Individual QC,field duplicate,10GC18D31,,,257.9,,0.452,,9.8215,,,6.5,3.64
25,26.0,2010.0,April    ,Spring,Erie,ER1011,E0FEM10,ERFE,7.2,41.58435,-82.904333,2010-04-07 19:11:00,EDT,,"Integrated, Spring",surface water,Composite,routine field sample,10GC18I12,,,,,1.087,,27.455,,,10.0,
26,27.0,2010.0,April    ,Spring,Erie,ER1011,E092M10,ER92,11.0,41.949483,-82.68835,2010-04-07 23:36:00,EDT,0.0,"Integrated, Spring",surface water,Composite,routine field sample,10GC18I32,,,,,0.45,,10.016499999999999,,,6.5,
27,28.0,2010.0,April    ,Spring,Erie,ER1011,E043M10,ER43,22.6,41.78835,-81.94505,2010-04-08 04:44:00,EDT,0.0,"Integrated, Spring",surface water,Composite,routine field sample,10GC18I52,,,,,0.209,,10.89,,,3.3,
28,29.0,2010.0,April    ,Spring,Erie,ER1011,E042M10,ER42,22.5,41.965,-82.041783,2010-04-08 03:12:00,EDT,0.0,"Integrated, Spring",surface water,Composite,routine field sample,10GC18I72,,,,,0.23,,9.775,,,4.0,
29,30.0,2010.0,April    ,Spring,Erie,ER1011,E073M10,ER73,24.6,41.9777,-81.756883,2010-04-08 06:33:00,EDT,0.0,"Integrated, Spring",surface water,Composite,routine field sample,10GC18I92,,,,,0.156,,13.494,,,3.1,
30,31.0,2010.0,April    ,Spring,Erie,ER1011,E0FEM10,ERFE,7.2,41.58435,-82.904333,2010-04-07 19:11:00,EDT,,Synthetic Sample,surface water,Individual QC,field blank,10GC18R00,,,1.994,,-0.001419,,-0.365,,,10.0,0.08
31,32.0,2010.0,April    ,Spring,Erie,ER1011,E0FEM10,ERFE,7.2,41.58435,-82.904333,2010-04-07 19:11:00,EDT,1.8,Surface,surface water,Individual,routine field sample,10GC18S01,,,326.5,,1.087,,27.211,,,10.1,10.4
32,33.0,2010.0,April    ,Spring,Erie,ER1011,E0FEM10,ERFE,7.2,41.58435,-82.904333,2010-04-07 19:11:00,EDT,3.4,Middle Depth,surface water,Individual,routine field sample,10GC18S03,,,326.7,,1.078,,27.3975,,,10.1,11.6
33,34.0,2010.0,April    ,Spring,Erie,ER1011,E0FEM10,ERFE,7.2,41.58435,-82.904333,2010-04-07 19:11:00,EDT,6.1,Bottom Minus,surface water,Individual,routine field sample,10GC18S11,,,327.1,,1.083,,27.552500000000002,,,10.0,11.0
34,35.0,2010.0,April    ,Spring,Erie,ER1011,E092M10,ER92,11.0,41.949483,-82.68835,2010-04-07 23:36:00,EDT,1.9,Surface,surface water,Individual,routine field sample,10GC18S21,,,259.7,,0.45,,9.236,,,6.5,3.91
35,36.0,2010.0,April    ,Spring,Erie,ER1011,E092M10,ER92,11.0,41.949483,-82.68835,2010-04-07 23:36:00,EDT,5.5,Middle Depth,surface water,Individual,routine field sample,10GC18S23,,,259.3,,0.45299999999999996,,8.5905,,,6.5,3.83
36,37.0,2010.0,April    ,Spring,Erie,ER1011,E092M10,ER92,11.0,41.949483,-82.68835,2010-04-07 23:36:00,EDT,10.2,Bottom Minus,surface water,Individual,routine field sample,10GC18S31,,,259.6,,0.452,,9.401,,,6.5,3.8
37,38.0,2010.0,April    ,Spring,Erie,ER1011,E043M10,ER43,22.6,41.78835,-81.94505,2010-04-08 04:44:00,EDT,2.0,Surface,surface water,Individual,routine field sample,10GC18S41,,,285.1,,0.205,,11.9805,,,3.3,2.47
38,39.0,2010.0,April    ,Spring,Erie,ER1011,E043M10,ER43,22.6,41.78835,-81.94505,2010-04-08 04:44:00,EDT,11.0,Middle Depth,surface water,Individual,routine field sample,10GC18S43,,,283.5,,0.21100000000000002,,11.34,,,3.3,2.65
39,40.0,2010.0,April    ,Spring,Erie,ER1011,E043M10,ER43,22.6,41.78835,-81.94505,2010-04-08 04:44:00,EDT,4.9,Five Meter,surface water,Individual,routine field sample,10GC18S4A,,,,,,,,,,3.3,
40,41.0,2010.0,April    ,Spring,Erie,ER1011,E043M10,ER43,22.6,41.78835,-81.94505,2010-04-08 04:44:00,EDT,20.0,Bottom Minus,surface water,Individual,routine field sample,10GC18S51,,,286.2,,0.209,,10.463999999999999,,,3.3,2.77
41,42.0,2010.0,April    ,Spring,Erie,ER1011,E042M10,ER42,22.5,41.965,-82.041783,2010-04-08 03:12:00,EDT,2.0,Surface,surface water,Individual,routine field sample,10GC18S61,,,260.0,,0.23,,9.375499999999999,,,4.1,3.35
42,43.0,2010.0,April    ,Spring,Erie,ER1011,E042M10,ER42,22.5,41.965,-82.041783,2010-04-08 03:12:00,EDT,11.1,Middle Depth,surface water,Individual,routine field sample,10GC18S63,,,260.7,,0.23199999999999998,,10.0095,,,4.0,3.39
43,44.0,2010.0,April    ,Spring,Erie,ER1011,E042M10,ER42,22.5,41.965,-82.041783,2010-04-08 03:12:00,EDT,5.0,Five Meter,surface water,Individual,routine field sample,10GC18S6A,,,,,,,,,,4.1,
44,45.0,2010.0,April    ,Spring,Erie,ER1011,E042M10,ER42,22.5,41.965,-82.041783,2010-04-08 03:12:00,EDT,20.1,Bottom Minus,surface water,Individual,routine field sample,10GC18S71,,,260.2,,0.23,13.18,9.55,,,4.0,3.24
45,46.0,2010.0,April    ,Spring,Erie,ER1011,E073M10,ER73,24.6,41.9777,-81.756883,2010-04-08 06:33:00,EDT,2.0,Surface,surface water,Individual,routine field sample,10GC18S81,,,284.4,,0.155,,15.001,,,3.1,5.42
46,47.0,2010.0,April    ,Spring,Erie,ER1011,E073M10,ER73,24.6,41.9777,-81.756883,2010-04-08 06:33:00,EDT,11.7,Middle Depth,surface water,Individual,routine field sample,10GC18S83,,,283.8,,0.155,,14.4915,,,3.1,5.51
47,48.0,2010.0,April    ,Spring,Erie,ER1011,E073M10,ER73,24.6,41.9777,-81.756883,2010-04-08 06:33:00,EDT,4.9,Five Meter,surface water,Individual,routine field sample,10GC18S8A,,,,,,,,,,3.1,
48,49.0,2010.0,April    ,Spring,Erie,ER1011,E073M10,ER73,24.6,41.9777,-81.756883,2010-04-08 06:33:00,EDT,21.9,Bottom Minus,surface water,Individual,routine field sample,10GC18S91,,,283.8,,0.154,,14.590499999999999,,,3.1,5.45
49,50.0,2010.0,April    ,Spring,Erie,ER1011,E037M10,ER37,24.5,42.110383,-81.574433,2010-04-08 09:34:00,EDT,2.0,Surface,surface water,Individual QC,lab duplicate,10GC19C21,,,,,0.073,,9.004999999999999,,,3.8,
50,51.0,2010.0,April    ,Spring,Erie,ER1011,E078M10,ER78M,23.4,42.115933,-81.25156700000001,2010-04-08 13:19:00,EDT,1.8,Surface,surface water,Individual QC,lab duplicate,10GC19C61,,,,,0.08,,8.8545,,,3.6,
51,52.0,2010.0,April    ,Spring,Erie,ER1011,E038M10,ER38,22.3,42.2817,-81.67178299999999,2010-04-08 10:56:00,EDT,2.0,Surface,surface water,Individual QC,field duplicate,10GC19D41,,,278.8,,0.10300000000000001,,12.660499999999999,,,3.9,4.48
52,53.0,2010.0,April    ,Spring,Erie,ER1011,E036M10,ER36,23.6,41.934967,-81.4784,2010-04-08 08:08:00,EDT,0.0,"Integrated, Spring",surface water,Composite,routine field sample,10GC19I12,,,,,0.065,,8.185,,,4.4,
53,54.0,2010.0,April    ,Spring,Erie,ER1011,E037M10,ER37,24.5,42.110383,-81.574433,2010-04-08 09:34:00,EDT,0.0,"Integrated, Spring",surface water,Composite,routine field sample,10GC19I32,,,,,0.074,,9.4285,,,3.8,
54,55.0,2010.0,April    ,Spring,Erie,ER1011,E038M10,ER38,22.3,42.2817,-81.67178299999999,2010-04-08 10:56:00,EDT,0.0,"Integrated, Spring",surface water,Composite,routine field sample,10GC19I52,,,,,0.102,,12.749,,,3.9,
55,56.0,2010.0,April    ,Spring,Erie,ER1011,E078M10,ER78M,23.4,42.115933,-81.25156700000001,2010-04-08 13:19:00,EDT,0.0,"Integrated, Spring",surface water,Composite,routine field sample,10GC19I72,,,,,0.079,,9.699,,,3.6,
56,57.0,2010.0,April    ,Spring,Erie,ER1011,E032M10,ER32,22.9,42.0817,-81.0105,2010-04-08 15:03:00,EDT,,"Integrated, Spring",surface water,Composite,routine field sample,10GC19I92,,,,,0.072,,10.5425,,,3.8,
57,58.0,2010.0,April    ,Spring,Erie,ER1011,E036M10,ER36,23.6,41.934967,-81.4784,2010-04-08 08:08:00,EDT,0.0,Synthetic Sample,surface water,Individual QC,field blank,10GC19R00,,,2.062,,-0.0057799999999999995,,0.5055000000000001,,,0.0,0.094
58,59.0,2010.0,April    ,Spring,Erie,ER1011,E036M10,ER36,23.6,41.934967,-81.4784,2010-04-08 08:08:00,EDT,1.9,Surface,surface water,Individual,routine field sample,10GC19S01,,,278.3,,0.065,,8.5555,,,4.4,2.84
59,60.0,2010.0,April    ,Spring,Erie,ER1011,E036M10,ER36,23.6,41.934967,-81.4784,2010-04-08 08:08:00,EDT,11.4,Middle Depth,surface water,Individual,routine field sample,10GC19S03,,,278.1,,0.066,,8.271,,,4.3,2.74
60,61.0,2010.0,April    ,Spring,Erie,ER1011,E036M10,ER36,23.6,41.934967,-81.4784,2010-04-08 08:08:00,EDT,5.0,Five Meter,surface water,Individual,routine field sample,10GC19S0A,,,,,,,,,,4.4,
61,62.0,2010.0,April    ,Spring,Erie,ER1011,E036M10,ER36,23.6,41.934967,-81.4784,2010-04-08 08:08:00,EDT,21.0,Bottom Minus,surface water,Individual,routine field sample,10GC19S11,,,277.8,,0.065,,8.663499999999999,,,4.3,2.84
62,63.0,2010.0,April    ,Spring,Erie,ER1011,E037M10,ER37,24.5,42.110383,-81.574433,2010-04-08 09:34:00,EDT,2.0,Surface,surface water,Individual,routine field sample,10GC19S21,,,282.0,,0.073,,9.1865,,,3.8,3.02
63,64.0,2010.0,April    ,Spring,Erie,ER1011,E037M10,ER37,24.5,42.110383,-81.574433,2010-04-08 09:34:00,EDT,12.0,Middle Depth,surface water,Individual,routine field sample,10GC19S23,,,281.9,,0.07400000000000001,,9.909500000000001,,,3.7,3.16
64,65.0,2010.0,April    ,Spring,Erie,ER1011,E037M10,ER37,24.5,42.110383,-81.574433,2010-04-08 09:34:00,EDT,5.0,Five Meter,surface water,Individual,routine field sample,10GC19S2A,,,,,,,,,,3.8,
65,66.0,2010.0,April    ,Spring,Erie,ER1011,E037M10,ER37,24.5,42.110383,-81.574433,2010-04-08 09:34:00,EDT,22.0,Bottom Minus,surface water,Individual,routine field sample,10GC19S31,,,281.6,,0.075,,9.179,,,3.7,3.12
66,67.0,2010.0,April    ,Spring,Erie,ER1011,E038M10,ER38,22.3,42.2817,-81.67178299999999,2010-04-08 10:56:00,EDT,2.0,Surface,surface water,Individual,routine field sample,10GC19S41,,,278.7,,0.102,,13.3185,,,3.9,4.54
67,68.0,2010.0,April    ,Spring,Erie,ER1011,E038M10,ER38,22.3,42.2817,-81.67178299999999,2010-04-08 10:56:00,EDT,10.9,Middle Depth,surface water,Individual,routine field sample,10GC19S43,,,277.3,,0.105,,12.759,,,3.9,4.61
68,69.0,2010.0,April    ,Spring,Erie,ER1011,E038M10,ER38,22.3,42.2817,-81.67178299999999,2010-04-08 10:56:00,EDT,4.9,Five Meter,surface water,Individual,routine field sample,10GC19S4A,,,,,,,,,,3.9,
69,70.0,2010.0,April    ,Spring,Erie,ER1011,E038M10,ER38,22.3,42.2817,-81.67178299999999,2010-04-08 10:56:00,EDT,21.9,Bottom Minus,surface water,Individual,routine field sample,10GC19S51,,,278.6,,0.10300000000000001,,12.3405,,,3.8,4.5
70,71.0,2010.0,April    ,Spring,Erie,ER1011,E078M10,ER78M,23.4,42.115933,-81.25156700000001,2010-04-08 13:19:00,EDT,1.8,Surface,surface water,Individual,routine field sample,10GC19S61,,,283.0,,0.08,,9.8985,,,3.6,3.37
71,72.0,2010.0,April    ,Spring,Erie,ER1011,E078M10,ER78M,23.4,42.115933,-81.25156700000001,2010-04-08 13:19:00,EDT,5.0,Five Meter,surface water,Individual,routine field sample,10GC19S62,,,283.0,,0.08,,9.02,,,3.6,3.42
72,73.0,2010.0,April    ,Spring,Erie,ER1011,E078M10,ER78M,23.4,42.115933,-81.25156700000001,2010-04-08 13:19:00,EDT,10.1,Ten Meter,surface water,Individual,routine field sample,10GC19S63,,,283.1,,0.079,,8.842,,,3.6,3.33
73,74.0,2010.0,April    ,Spring,Erie,ER1011,E078M10,ER78M,23.4,42.115933,-81.25156700000001,2010-04-08 13:19:00,EDT,21.7,Bottom Minus,surface water,Individual,routine field sample,10GC19S71,,,283.0,,0.08,,9.0535,,,3.6,3.29
74,75.0,2010.0,April    ,Spring,Erie,ER1011,E032M10,ER32,22.9,42.0817,-81.0105,2010-04-08 15:03:00,EDT,2.0,Surface,surface water,Individual,routine field sample,10GC19S81,,,282.7,,0.07200000000000001,,9.404499999999999,,,3.9,3.16
75,76.0,2010.0,April    ,Spring,Erie,ER1011,E032M10,ER32,22.9,42.0817,-81.0105,2010-04-08 15:03:00,EDT,11.2,Middle Depth,surface water,Individual,routine field sample,10GC19S83,,,283.1,,0.07200000000000001,,9.189,,,3.8,3.36
76,77.0,2010.0,April    ,Spring,Erie,ER1011,E032M10,ER32,22.9,42.0817,-81.0105,2010-04-08 15:03:00,EDT,5.0,Five Meter,surface water,Individual,routine field sample,10GC19S8A,,,,,,,,,,3.8,
77,78.0,2010.0,April    ,Spring,Erie,ER1011,E032M10,ER32,22.9,42.0817,-81.0105,2010-04-08 15:03:00,EDT,21.3,Bottom Minus,surface water,Individual,routine field sample,10GC19S91,,,282.2,,0.071,,8.3295,,,3.8,3.03
78,79.0,2010.0,April    ,Spring,Erie,ER1011,E063M10,ER63,46.6,42.4166,-79.80015,2010-04-10 10:14:00,EDT,35.7,Bottom Minus 10,surface water,Individual QC,lab duplicate,10GC20C70,,,,,0.183,,9.023499999999999,,,1.9,
79,80.0,2010.0,April    ,Spring,Erie,ER1011,E031M10,ER31,22.5,42.252933,-81.106783,2010-04-08 16:26:00,EDT,21.0,Bottom Minus,surface water,Individual QC,field duplicate,10GC20D11,,,281.5,,0.08,,9.4955,,,4.0,3.73
80,81.0,2010.0,April    ,Spring,Erie,ER1011,E015M10,ER15M,64.4,42.516583000000004,-79.893283,2010-04-10 11:22:00,EDT,61.8,Bottom Minus,surface water,Individual QC,field duplicate,10GC20D51,,,287.4,,0.188,,10.9,,,1.7,0.504
81,82.0,2010.0,April    ,Spring,Erie,ER1011,E031M10,ER31,22.5,42.252933,-81.106783,2010-04-08 16:26:00,EDT,,"Integrated, Spring",surface water,Composite,routine field sample,10GC20I12,,,,,0.081,,8.953,,,4.0,
82,83.0,2010.0,April    ,Spring,Erie,ER1011,E030M10,ER30,21.2,42.430017,-81.20491700000001,2010-04-08 18:15:00,EDT,,"Integrated, Spring",surface water,Composite,routine field sample,10GC20I32,,,,,0.161,,9.0915,,,3.4,
83,84.0,2010.0,April    ,Spring,Erie,ER1011,E015M10,ER15M,64.4,42.516583000000004,-79.893283,2010-04-10 11:22:00,EDT,0.0,"Integrated, Spring",surface water,Composite,routine field sample,10GC20I52,,,,,0.189,,9.401,,,1.8,
84,85.0,2010.0,April    ,Spring,Erie,ER1011,E063M10,ER63,46.6,42.4166,-79.80015,2010-04-10 10:14:00,EDT,0.0,"Integrated, Spring",surface water,Composite,routine field sample,10GC20I72,,,,,0.184,,8.741,,,1.8,
85,86.0,2010.0,April    ,Spring,Erie,ER1011,E009M10,ER09,50.1,42.538283,-79.6168,2010-04-10 13:36:00,EDT,0.0,"Integrated, Spring",surface water,Composite,routine field sample,10GC20I92,,,,,0.192,,9.374,,,1.7,
86,87.0,2010.0,April    ,Spring,Erie,ER1011,E030M10,ER30,21.2,42.430017,-81.20491700000001,2010-04-08 18:15:00,EDT,,Synthetic Sample,surface water,Individual QC,field blank,10GC20R20,,,2.346,,-0.01,,0.251,,,3.4,0.065
87,88.0,2010.0,April    ,Spring,Erie,ER1011,E009M10,ER09,50.1,42.538283,-79.6168,2010-04-10 13:36:00,EDT,0.0,Synthetic Sample,surface water,Individual QC,field blank,10GC20R80,,,2.095,,-0.008841,,0.026000000000000002,,,1.7,0.062
88,89.0,2010.0,April    ,Spring,Erie,ER1011,E031M10,ER31,22.5,42.252933,-81.106783,2010-04-08 16:26:00,EDT,1.8,Surface,surface water,Individual,routine field sample,10GC20S01,,,280.3,,0.08,,9.475,,,4.0,4.0
89,90.0,2010.0,April    ,Spring,Erie,ER1011,E031M10,ER31,22.5,42.252933,-81.106783,2010-04-08 16:26:00,EDT,10.2,Middle Depth,surface water,Individual,routine field sample,10GC20S03,,,281.3,,0.08,,9.251999999999999,,,4.0,4.02
90,91.0,2010.0,April    ,Spring,Erie,ER1011,E031M10,ER31,22.5,42.252933,-81.106783,2010-04-08 16:26:00,EDT,5.0,Five Meter,surface water,Individual,routine field sample,10GC20S0A,,,,,,,,,,4.0,
91,92.0,2010.0,April    ,Spring,Erie,ER1011,E031M10,ER31,22.5,42.252933,-81.106783,2010-04-08 16:26:00,EDT,21.0,Bottom Minus,surface water,Individual,routine field sample,10GC20S11,,,281.5,,0.08,,8.8805,,,4.0,3.77
92,93.0,2010.0,April    ,Spring,Erie,ER1011,E030M10,ER30,21.2,42.430017,-81.20491700000001,2010-04-08 18:15:00,EDT,1.9,Surface,surface water,Individual,routine field sample,10GC20S21,,,275.6,,0.159,,9.273,,,3.5,2.96
93,94.0,2010.0,April    ,Spring,Erie,ER1011,E030M10,ER30,21.2,42.430017,-81.20491700000001,2010-04-08 18:15:00,EDT,10.1,Middle Depth,surface water,Individual,routine field sample,10GC20S23,,,275.6,,0.161,,9.0615,,,3.4,2.71
94,95.0,2010.0,April    ,Spring,Erie,ER1011,E030M10,ER30,21.2,42.430017,-81.20491700000001,2010-04-08 18:15:00,EDT,4.8,Five Meter,surface water,Individual,routine field sample,10GC20S2A,,,,,,,,,,3.4,
95,96.0,2010.0,April    ,Spring,Erie,ER1011,E030M10,ER30,21.2,42.430017,-81.20491700000001,2010-04-08 18:15:00,EDT,20.0,Bottom Minus,surface water,Individual,routine field sample,10GC20S31,,,276.3,,0.16,,9.85,,,3.4,2.58
96,97.0,2010.0,April    ,Spring,Erie,ER1011,E015M10,ER15M,64.4,42.516583000000004,-79.893283,2010-04-10 11:22:00,EDT,1.9,Surface,surface water,Individual,routine field sample,10GC20S41,,,287.3,,0.19,,10.02,,,1.8,0.553
97,98.0,2010.0,April    ,Spring,Erie,ER1011,E015M10,ER15M,64.4,42.516583000000004,-79.893283,2010-04-10 11:22:00,EDT,5.1,Five Meter,surface water,Individual,routine field sample,10GC20S42,,,286.6,,0.19,,9.278500000000001,,,1.8,0.539
98,99.0,2010.0,April    ,Spring,Erie,ER1011,E015M10,ER15M,64.4,42.516583000000004,-79.893283,2010-04-10 11:22:00,EDT,10.0,Ten Meter,surface water,Individual,routine field sample,10GC20S43,,,286.6,,0.18899999999999997,,9.283000000000001,,,1.8,0.494
99,100.0,2010.0,April    ,Spring,Erie,ER1011,E015M10,ER15M,64.4,42.516583000000004,-79.893283,2010-04-10 11:22:00,EDT,20.0,Twenty Meter,surface water,Individual,routine field sample,10GC20S44,,,286.9,,0.18899999999999997,,9.5595,,,1.7,0.496
100,101.0,2010.0,April    ,Spring,Erie,ER1011,E015M10,ER15M,64.4,42.516583000000004,-79.893283,2010-04-10 11:22:00,EDT,30.0,Thirty Meter,surface water,Individual,routine field sample,10GC20S45,,,286.7,,0.191,,9.507,,,1.7,0.455
101,102.0,2010.0,April    ,Spring,Erie,ER1011,E015M10,ER15M,64.4,42.516583000000004,-79.893283,2010-04-10 11:22:00,EDT,40.0,Forty Meter,surface water,Individual,routine field sample,10GC20S46,,,286.3,,0.19,,9.703,,,1.7,0.545
102,103.0,2010.0,April    ,Spring,Erie,ER1011,E015M10,ER15M,64.4,42.516583000000004,-79.893283,2010-04-10 11:22:00,EDT,52.9,Bottom Minus 10,surface water,Individual,routine field sample,10GC20S50,,,286.4,,0.19,,9.753,,,1.7,0.434
103,104.0,2010.0,April    ,Spring,Erie,ER1011,E015M10,ER15M,64.4,42.516583000000004,-79.893283,2010-04-10 11:22:00,EDT,61.8,Bottom Minus,surface water,Individual,routine field sample,10GC20S51,,,287.4,,0.191,,10.718,,,1.7,0.433
