Row,YEAR,MONTH,SEASON,LAKE,CRUISE_ID,VISIT_ID,STATION_ID,STN_DEPTH_M,LATITUDE,LONGITUDE,SAMPLING_DATE,TIME_ZONE,SAMPLE_DEPTH_M,DEPTH_CODE,MEDIUM,SAMPLE_TYPE,QC_TYPE,SAMPLE_ID,ANL_CODE_1,ANALYTE_1,VALUE_1,UNITS_1,FRACTION_1,METHOD_1,RESULT_REMARK_1,ANL_CODE_2,ANALYTE_2,VALUE_2,UNITS_2,FRACTION_2,METHOD_2,RESULT_REMARK_2,ANL_CODE_3,ANALYTE_3,VALUE_3,UNITS_3,FRACTION_3,METHOD_3,RESULT_REMARK_3,ANL_CODE_4,ANALYTE_4,VALUE_4,UNITS_4,FRACTION_4,METHOD_4,RESULT_REMARK_4,ANL_CODE_5,ANALYTE_5,VALUE_5,UNITS_5,FRACTION_5,METHOD_5,RESULT_REMARK_5,ANL_CODE_6,ANALYTE_6,VALUE_6,UNITS_6,FRACTION_6,METHOD_6,RESULT_REMARK_6,ANL_CODE_7,ANALYTE_7,VALUE_7,UNITS_7,FRACTION_7,METHOD_7,RESULT_REMARK_7,ANL_CODE_8,ANALYTE_8,VALUE_8,UNITS_8,FRACTION_8,METHOD_8,RESULT_REMARK_8,ANL_CODE_9,ANALYTE_9,VALUE_9,UNITS_9,FRACTION_9,METHOD_9,RESULT_REMARK_9,ANL_CODE_10,ANALYTE_10,VALUE_10,UNITS_10,FRACTION_10,METHOD_10,RESULT_REMARK_10,ANL_CODE_11,ANALYTE_11,VALUE_11,UNITS_11,FRACTION_11,METHOD_11,RESULT_REMARK_11,ANL_CODE_12,ANALYTE_12,VALUE_12,UNITS_12,FRACTION_12,METHOD_12,RESULT_REMARK_12,
"11","2010","April    ","Spring","Erie","ER1011","E061M10","ER61","8.9","41.946767","-83.045617","2010/04/07 14:18","EDT","7","Bottom Minus","surface water","Individual","routine field sample","10GC17S11","Cond","Conductivity","247.9","umho/cm","Total/Bulk","LG500","","NO2+NO3","Nitrogen, Total Oxidized","0.903","mg/l","Filtrate","LG203","","P-tot","Phosphorus, Total as P","4.702","ug/l","Filtrate","LG204","","P-tot","Phosphorus, Total as P","15.595","ug/l","Total/Bulk","LG204","","Temp","Temperature","8.6","C","Not applicable","NA","","Turb","Turbidity","9.8","NTU","Total/Bulk","LG500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"12","2010","April    ","Spring","Erie","ER1011","E060M10","ER60","8.3","41.89175","-83.194883","2010/04/07 15:35","EDT","2","Surface","surface water","Individual","routine field sample","10GC17S21","Cond","Conductivity","234.1","umho/cm","Total/Bulk","LG500","","NO2+NO3","Nitrogen, Total Oxidized","0.399","mg/l","Filtrate","LG203","","P-tot","Phosphorus, Total as P","5.852","ug/l","Filtrate","LG204","","P-tot","Phosphorus, Total as P","8.234","ug/l","Total/Bulk","LG204","","Temp","Temperature","8.8","C","Not applicable","NA","","Turb","Turbidity","2","NTU","Total/Bulk","LG500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"13","2010","April    ","Spring","Erie","ER1011","E060M10","ER60","8.3","41.89175","-83.194883","2010/04/07 15:35","EDT","4.1","Middle Depth","surface water","Individual","routine field sample","10GC17S23","Cond","Conductivity","232.7","umho/cm","Total/Bulk","LG500","","NO2+NO3","Nitrogen, Total Oxidized","0.401","mg/l","Filtrate","LG203","","P-tot","Phosphorus, Total as P","6.481","ug/l","Filtrate","LG204","","P-tot","Phosphorus, Total as P","7.417","ug/l","Total/Bulk","LG204","","Temp","Temperature","8.7","C","Not applicable","NA","","Turb","Turbidity","1.81","NTU","Total/Bulk","LG500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"14","2010","April    ","Spring","Erie","ER1011","E060M10","ER60","8.3","41.89175","-83.194883","2010/04/07 15:35","EDT","6.3","Bottom Minus","surface water","Individual","routine field sample","10GC17S31","Cond","Conductivity","232.8","umho/cm","Total/Bulk","LG500","","NO2+NO3","Nitrogen, Total Oxidized","0.402","mg/l","Filtrate","LG203","","P-tot","Phosphorus, Total as P","5.947","ug/l","Filtrate","LG204","","P-tot","Phosphorus, Total as P","8.369","ug/l","Total/Bulk","LG204","","Temp","Temperature","8.6","C","Not applicable","NA","","Turb","Turbidity","1.67","NTU","Total/Bulk","LG500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"15","2010","April    ","Spring","Erie","ER1011","E059M10","ER59","8","41.72735","-83.150533","2010/04/07 17:11","EDT","2","Surface","surface water","Individual","routine field sample","10GC17S41","Cond","Conductivity","246.2","umho/cm","Total/Bulk","LG500","","NO2+NO3","Nitrogen, Total Oxidized","0.633","mg/l","Filtrate","LG203","","P-tot","Phosphorus, Total as P","7.044","ug/l","Filtrate","LG204","","P-tot","Phosphorus, Total as P","12.701","ug/l","Total/Bulk","LG204","","Temp","Temperature","7.8","C","Not applicable","NA","","Turb","Turbidity","4.23","NTU","Total/Bulk","LG500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"16","2010","April    ","Spring","Erie","ER1011","E059M10","ER59","8","41.72735","-83.150533","2010/04/07 17:11","EDT","4","Middle Depth","surface water","Individual","routine field sample","10GC17S43","Cond","Conductivity","245.5","umho/cm","Total/Bulk","LG500","","NO2+NO3","Nitrogen, Total Oxidized","0.631","mg/l","Filtrate","LG203","","P-tot","Phosphorus, Total as P","4.914","ug/l","Filtrate","LG204","","P-tot","Phosphorus, Total as P","13.107","ug/l","Total/Bulk","LG204","","Temp","Temperature","7.7","C","Not applicable","NA","","Turb","Turbidity","4.19","NTU","Total/Bulk","LG500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"17","2010","April    ","Spring","Erie","ER1011","E059M10","ER59","8","41.72735","-83.150533","2010/04/07 17:11","EDT","7.5","Bottom Minus","surface water","Individual","routine field sample","10GC17S51","Cond","Conductivity","245.5","umho/cm","Total/Bulk","LG500","","NO2+NO3","Nitrogen, Total Oxidized","0.63","mg/l","Filtrate","LG203","","P-tot","Phosphorus, Total as P","5.464","ug/l","Filtrate","LG204","","P-tot","Phosphorus, Total as P","11.74","ug/l","Total/Bulk","LG204","","Temp","Temperature","7.7","C","Not applicable","NA","","Turb","Turbidity","4.48","NTU","Total/Bulk","LG500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"18","2010","April    ","Spring","Erie","ER1011","E058M10","ER58","9.5","41.683917","-82.9349","2010/04/07 18:11","EDT","1.8","Surface","surface water","Individual","routine field sample","10GC17S61","Cond","Conductivity","268.4","umho/cm","Total/Bulk","LG500","","NO2+NO3","Nitrogen, Total Oxidized","0.682","mg/l","Filtrate","LG203","","O2diss","Oxygen, Dissolved","11.42","mg/l","Total/Bulk","NA","","P-tot","Phosphorus, Total as P","7.508","ug/l","Filtrate","LG204","","P-tot","Phosphorus, Total as P","17.567","ug/l","Total/Bulk","LG204","","Temp","Temperature","8.2","C","Not applicable","NA","","Turb","Turbidity","7.52","NTU","Total/Bulk","LG500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"19","2010","April    ","Spring","Erie","ER1011","E058M10","ER58","9.5","41.683917","-82.9349","2010/04/07 18:11","EDT","4.6","Middle Depth","surface water","Individual","routine field sample","10GC17S63","Cond","Conductivity","270.4","umho/cm","Total/Bulk","LG500","","NO2+NO3","Nitrogen, Total Oxidized","0.697","mg/l","Filtrate","LG203","","P-tot","Phosphorus, Total as P","5.609","ug/l","Filtrate","LG204","","P-tot","Phosphorus, Total as P","17.829","ug/l","Total/Bulk","LG204","","Temp","Temperature","8.0","C","Not applicable","NA","","Turb","Turbidity","7.79","NTU","Total/Bulk","LG500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"20","2010","April    ","Spring","Erie","ER1011","E058M10","ER58","9.5","41.683917","-82.9349","2010/04/07 18:11","EDT","8.7","Bottom Minus","surface water","Individual","routine field sample","10GC17S71","Cond","Conductivity","269.7","umho/cm","Total/Bulk","LG500","","NO2+NO3","Nitrogen, Total Oxidized","0.693","mg/l","Filtrate","LG203","","P-tot","Phosphorus, Total as P","7.241","ug/l","Filtrate","LG204","","P-tot","Phosphorus, Total as P","17.273","ug/l","Total/Bulk","LG204","","Temp","Temperature","8.0","C","Not applicable","NA","","Turb","Turbidity","7.49","NTU","Total/Bulk","LG500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"21","2010","April    ","Spring","Erie","ER1011","E091M10","ER91M","10.2","41.83835","-82.904333","2010/04/07 20:59","EDT","2","Surface","surface water","Individual","routine field sample","10GC17S81","Cond","Conductivity","245.2","umho/cm","Total/Bulk","LG500","","NO2+NO3","Nitrogen, Total Oxidized","0.471","mg/l","Filtrate","LG203","","P-tot","Phosphorus, Total as P","5.918","ug/l","Filtrate","LG204","","P-tot","Phosphorus, Total as P","13.632","ug/l","Total/Bulk","LG204","","Temp","Temperature","7.1","C","Not applicable","NA","","Turb","Turbidity","5.62","NTU","Total/Bulk","LG500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"22","2010","April    ","Spring","Erie","ER1011","E091M10","ER91M","10.2","41.83835","-82.904333","2010/04/07 20:59","EDT","4.9","Five Meter","surface water","Individual","routine field sample","10GC17S82","Cond","Conductivity","246.5","umho/cm","Total/Bulk","LG500","","NO2+NO3","Nitrogen, Total Oxidized","0.477","mg/l","Filtrate","LG203","","P-tot","Phosphorus, Total as P","6.465","ug/l","Filtrate","LG204","","P-tot","Phosphorus, Total as P","13.186","ug/l","Total/Bulk","LG204","","Temp","Temperature","7.1","C","Not applicable","NA","","Turb","Turbidity","5.65","NTU","Total/Bulk","LG500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"23","2010","April    ","Spring","Erie","ER1011","E091M10","ER91M","10.2","41.83835","-82.904333","2010/04/07 20:59","EDT","9.2","Bottom Minus","surface water","Individual","routine field sample","10GC17S91","Cond","Conductivity","246.8","umho/cm","Total/Bulk","LG500","","NO2+NO3","Nitrogen, Total Oxidized","0.477","mg/l","Filtrate","LG203","","P-tot","Phosphorus, Total as P","5.65","ug/l","Filtrate","LG204","","P-tot","Phosphorus, Total as P","12.847","ug/l","Total/Bulk","LG204","","Temp","Temperature","7.0","C","Not applicable","NA","","Turb","Turbidity","5.95","NTU","Total/Bulk","LG500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"24","2010","April    ","Spring","Erie","ER1011","E042M10","ER42","22.5","41.965","-82.041783","2010/04/08 03:12","EDT","11.1","Middle Depth","surface water","Individual QC","lab duplicate","10GC18C63","NO2+NO3","Nitrogen, Total Oxidized","0.23","mg/l","Filtrate","LG203","","P-tot","Phosphorus, Total as P","5.388","ug/l","Filtrate","LG204","","P-tot","Phosphorus, Total as P","14.438","ug/l","Total/Bulk","LG204","","Temp","Temperature","4.0","C","Not applicable","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"25","2010","April    ","Spring","Erie","ER1011","E092M10","ER92","11","41.949483","-82.68835","2010/04/07 23:36","EDT","10.2","Bottom Minus","surface water","Individual QC","field duplicate","10GC18D31","Cond","Conductivity","257.9","umho/cm","Total/Bulk","LG500","Field Reagent Blank, failed","NO2+NO3","Nitrogen, Total Oxidized","0.452","mg/l","Filtrate","LG203","","P-tot","Phosphorus, Total as P","6.502","ug/l","Filtrate","LG204","","P-tot","Phosphorus, Total as P","13.141","ug/l","Total/Bulk","LG204","","Temp","Temperature","6.5","C","Not applicable","NA","","Turb","Turbidity","3.64","NTU","Total/Bulk","LG500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"26","2010","April    ","Spring","Erie","ER1011","E0FEM10","ERFE","7.2","41.58435","-82.904333","2010/04/07 19:11","EDT","","Integrated, Spring","surface water","Composite","routine field sample","10GC18I12","NO2+NO3","Nitrogen, Total Oxidized","1.087","mg/l","Filtrate","LG203","","P-tot","Phosphorus, Total as P","18.495","ug/l","Filtrate","LG204","","P-tot","Phosphorus, Total as P","36.415","ug/l","Total/Bulk","LG204","","Temp","Temperature","10.0","C","Not applicable","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"27","2010","April    ","Spring","Erie","ER1011","E092M10","ER92","11","41.949483","-82.68835","2010/04/07 23:36","EDT","0","Integrated, Spring","surface water","Composite","routine field sample","10GC18I32","NO2+NO3","Nitrogen, Total Oxidized","0.45","mg/l","Filtrate","LG203","","P-tot","Phosphorus, Total as P","6.185","ug/l","Filtrate","LG204","","P-tot","Phosphorus, Total as P","13.848","ug/l","Total/Bulk","LG204","","Temp","Temperature","6.5","C","Not applicable","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"28","2010","April    ","Spring","Erie","ER1011","E043M10","ER43","22.6","41.78835","-81.94505","2010/04/08 04:44","EDT","0","Integrated, Spring","surface water","Composite","routine field sample","10GC18I52","NO2+NO3","Nitrogen, Total Oxidized","0.209","mg/l","Filtrate","LG203","","P-tot","Phosphorus, Total as P","6.621","ug/l","Filtrate","LG204","","P-tot","Phosphorus, Total as P","15.159","ug/l","Total/Bulk","LG204","","Temp","Temperature","3.3","C","Not applicable","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"29","2010","April    ","Spring","Erie","ER1011","E042M10","ER42","22.5","41.965","-82.041783","2010/04/08 03:12","EDT","0","Integrated, Spring","surface water","Composite","routine field sample","10GC18I72","NO2+NO3","Nitrogen, Total Oxidized","0.23","mg/l","Filtrate","LG203","","P-tot","Phosphorus, Total as P","6.958","ug/l","Filtrate","LG204","","P-tot","Phosphorus, Total as P","12.592","ug/l","Total/Bulk","LG204","","Temp","Temperature","4.0","C","Not applicable","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"30","2010","April    ","Spring","Erie","ER1011","E073M10","ER73","24.6","41.9777","-81.756883","2010/04/08 06:33","EDT","0","Integrated, Spring","surface water","Composite","routine field sample","10GC18I92","NO2+NO3","Nitrogen, Total Oxidized","0.156","mg/l","Filtrate","LG203","","P-tot","Phosphorus, Total as P","8.197","ug/l","Filtrate","LG204","","P-tot","Phosphorus, Total as P","18.791","ug/l","Total/Bulk","LG204","","Temp","Temperature","3.1","C","Not applicable","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"31","2010","April    ","Spring","Erie","ER1011","E0FEM10","ERFE","7.2","41.58435","-82.904333","2010/04/07 19:11","EDT","","Synthetic Sample","surface water","Individual QC","field blank","10GC18R00","Cond","Conductivity","1.994","umho/cm","Total/Bulk","LG500","","NO2+NO3","Nitrogen, Total Oxidized","-0.001419","mg/l","Filtrate","LG203","","P-tot","Phosphorus, Total as P","0.055","ug/l","Filtrate","LG204","","P-tot","Phosphorus, Total as P","-0.785","ug/l","Total/Bulk","LG204","","Temp","Temperature","10.0","C","Not applicable","NA","","Turb","Turbidity","0.08","NTU","Total/Bulk","LG500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"32","2010","April    ","Spring","Erie","ER1011","E0FEM10","ERFE","7.2","41.58435","-82.904333","2010/04/07 19:11","EDT","1.8","Surface","surface water","Individual","routine field sample","10GC18S01","Cond","Conductivity","326.5","umho/cm","Total/Bulk","LG500","","NO2+NO3","Nitrogen, Total Oxidized","1.087","mg/l","Filtrate","LG203","","P-tot","Phosphorus, Total as P","19.055","ug/l","Filtrate","LG204","","P-tot","Phosphorus, Total as P","35.367","ug/l","Total/Bulk","LG204","","Temp","Temperature","10.1","C","Not applicable","NA","","Turb","Turbidity","10.4","NTU","Total/Bulk","LG500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"33","2010","April    ","Spring","Erie","ER1011","E0FEM10","ERFE","7.2","41.58435","-82.904333","2010/04/07 19:11","EDT","3.4","Middle Depth","surface water","Individual","routine field sample","10GC18S03","Cond","Conductivity","326.7","umho/cm","Total/Bulk","LG500","","NO2+NO3","Nitrogen, Total Oxidized","1.078","mg/l","Filtrate","LG203","","P-tot","Phosphorus, Total as P","18.25","ug/l","Filtrate","LG204","","P-tot","Phosphorus, Total as P","36.545","ug/l","Total/Bulk","LG204","","Temp","Temperature","10.1","C","Not applicable","NA","","Turb","Turbidity","11.6","NTU","Total/Bulk","LG500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"34","2010","April    ","Spring","Erie","ER1011","E0FEM10","ERFE","7.2","41.58435","-82.904333","2010/04/07 19:11","EDT","6.1","Bottom Minus","surface water","Individual","routine field sample","10GC18S11","Cond","Conductivity","327.1","umho/cm","Total/Bulk","LG500","","NO2+NO3","Nitrogen, Total Oxidized","1.083","mg/l","Filtrate","LG203","","P-tot","Phosphorus, Total as P","18.169","ug/l","Filtrate","LG204","","P-tot","Phosphorus, Total as P","36.936","ug/l","Total/Bulk","LG204","","Temp","Temperature","10.0","C","Not applicable","NA","","Turb","Turbidity","11","NTU","Total/Bulk","LG500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"35","2010","April    ","Spring","Erie","ER1011","E092M10","ER92","11","41.949483","-82.68835","2010/04/07 23:36","EDT","1.9","Surface","surface water","Individual","routine field sample","10GC18S21","Cond","Conductivity","259.7","umho/cm","Total/Bulk","LG500","Field Reagent Blank, failed","NO2+NO3","Nitrogen, Total Oxidized","0.45","mg/l","Filtrate","LG203","","P-tot","Phosphorus, Total as P","6.072","ug/l","Filtrate","LG204","","P-tot","Phosphorus, Total as P","12.4","ug/l","Total/Bulk","LG204","","Temp","Temperature","6.5","C","Not applicable","NA","","Turb","Turbidity","3.91","NTU","Total/Bulk","LG500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"36","2010","April    ","Spring","Erie","ER1011","E092M10","ER92","11","41.949483","-82.68835","2010/04/07 23:36","EDT","5.5","Middle Depth","surface water","Individual","routine field sample","10GC18S23","Cond","Conductivity","259.3","umho/cm","Total/Bulk","LG500","Field Reagent Blank, failed","NO2+NO3","Nitrogen, Total Oxidized","0.453","mg/l","Filtrate","LG203","","P-tot","Phosphorus, Total as P","5.397","ug/l","Filtrate","LG204","","P-tot","Phosphorus, Total as P","11.784","ug/l","Total/Bulk","LG204","","Temp","Temperature","6.5","C","Not applicable","NA","","Turb","Turbidity","3.83","NTU","Total/Bulk","LG500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"37","2010","April    ","Spring","Erie","ER1011","E092M10","ER92","11","41.949483","-82.68835","2010/04/07 23:36","EDT","10.2","Bottom Minus","surface water","Individual","routine field sample","10GC18S31","Cond","Conductivity","259.6","umho/cm","Total/Bulk","LG500","Field Reagent Blank, failed","NO2+NO3","Nitrogen, Total Oxidized","0.452","mg/l","Filtrate","LG203","","P-tot","Phosphorus, Total as P","6.329","ug/l","Filtrate","LG204","","P-tot","Phosphorus, Total as P","12.473","ug/l","Total/Bulk","LG204","","Temp","Temperature","6.5","C","Not applicable","NA","","Turb","Turbidity","3.8","NTU","Total/Bulk","LG500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
